index,mem_percent,mem_free,mem_available,mem_used
1,16.3,44699967488,45914091520,7522578432
2,16.4,44652650496,45866774528,7677722624
3,16.3,44714741760,45928804352,7715500032
4,16.3,44747321344,45961383936,7691214848
5,16.0,44890226688,46104289280,7498874880
6,16.0,44871708672,46085771264,7452696576
7,16.0,44902944768,46117085184,7427432448
8,15.9,44939513856,46153654272,7496544256
9,16.0,44913508352,46127648768,7444914176
10,15.8,44984864768,46199005184,7453847552
11,15.9,44941324288,46155390976,7497203712
12,15.8,45020958720,46235025408,7525396480
13,15.7,45054476288,46268375040,7600369664
14,15.6,45103947776,46317682688,7652753408
15,15.6,45131628544,46345367552,7480578048
16,15.5,45158125568,46371844096,7497121792
17,15.4,45196189696,46409908224,7567216640
18,15.5,45172465664,46386020352,7680520192
19,15.9,44967047168,46180962304,7471792128
20,15.8,44999610368,46213439488,7547408384
21,15.9,44934332416,46148202496,7720615936
22,16.0,44883480576,46097182720,7747248128
23,15.5,45154480128,46368182272,7445725184
24,15.7,45025259520,46239072256,7521587200
25,15.8,44991156224,46204960768,7603687424
26,15.5,45133672448,46347476992,7413399552
27,16.1,44844298240,46058356736,7594074112
28,15.8,45000523776,46214582272,7437848576
29,15.7,45036990464,46251048960,7509540864
30,15.9,44939075584,46152876032,7716012032
31,15.8,45007507456,46221307904,7594827776
32,16.0,44906561536,46120361984,7641362432
33,15.8,44995891200,46209732608,7551803392
34,15.7,45036711936,46250557440,7562194944
35,16.4,44641468416,45855592448,7688765440
36,16.2,44796633088,46010757120,7641096192
37,16.2,44750229504,45964328960,7573676032
38,16.2,44803936256,46018113536,7446306816
39,16.1,44851052544,46065172480,7479533568
40,15.8,44978864128,46192984064,7404142592
41,15.8,44970344448,46184337408,7468675072
42,15.9,44944281600,46158266368,7570911232
43,16.3,44702535680,45916708864,7411838976
44,16.3,44703125504,45917298688,7459024896
45,16.1,44828729344,46042902528,7393804288
46,15.9,44917448704,46131621888,7305084928
47,16.1,44837056512,46051229696,7493636096
48,15.9,44928180224,46142193664,7483228160
49,15.7,45055037440,46269042688,7383916544
50,15.8,45018615808,46232621056,7420338176
51,16.2,44758523904,45972606976,7572045824
52,16.2,44800557056,46014164992,7638212608
53,15.9,44920692736,46134681600,7518076928
54,15.9,44951797760,46165786624,7595130880
55,15.8,44996931584,46210822144,7528960000
56,15.6,45102116864,46315995136,7444971520
57,15.8,44974866432,46188744704,7639572480
58,15.5,45150924800,46364803072,7504322560
59,16.4,44689252352,45903364096,7528513536
60,16.4,44662091776,45876236288,7452073984
61,16.2,44782219264,45996363776,7439949824
62,16.0,44891779072,46105923584,7438581760
63,16.4,44665548800,45879738368,7556730880
64,16.2,44749348864,45963538432,7557709824
65,16.1,44817993728,46032183296,7512621056
66,16.0,44907560960,46121664512,7422898176
67,16.4,44682084352,45896327168,7539908608
68,16.3,44742311936,45956538368,7587897344
69,16.4,44690812928,45904875520,7747555328
70,16.1,44829294592,46043357184,7468068864
71,16.1,44807860224,46021922816,7523012608
72,16.2,44793790464,46007803904,7580696576
73,16.1,44810715136,46025129984,7566000128
74,16.0,44883996672,46098411520,7554097152
75,16.9,44402073600,45617172480,7710945280
76,16.4,44666281984,45881380864,7554924544
77,16.5,44600020992,45814956032,7621517312
78,16.3,44718895104,45933797376,7539556352
79,16.4,44663357440,45878259712,7590268928
80,16.1,44844113920,46059016192,7485489152
81,16.1,44841099264,46055854080,7589179392
82,15.9,44918206464,46132961280,7395618816
83,16.6,44569378816,45784240128,7633059840
84,16.6,44545339392,45760200704,7676346368
85,16.4,44644319232,45859180544,7685525504
86,16.3,44710567936,45925347328,7660609536
87,16.3,44718161920,45932941312,7625809920
88,16.2,44753907712,45968687104,7514419200
89,16.2,44794667008,46009446400,7535702016
90,15.9,44966154240,46180933632,7472373760
91,16.3,44741255168,45956177920,7480315904
92,16.2,44766289920,45981274112,7562977280
93,16.2,44800626688,46015516672,7637020672
94,15.9,44937306112,46152032256,7552761856
95,16.0,44912734208,46127460352,7633403904
96,15.7,45063258112,46277984256,7482880000
97,15.8,45005926400,46220652544,7559122944
98,15.8,44980101120,46194647040,7620087808
99,16.3,44704690176,45919547392,7516676096
100,16.4,44686475264,45901332480,7534710784
101,16.5,44632440832,45847384064,7545786368
102,16.3,44708065280,45923065856,7513350144
103,16.2,44769370112,45984370688,7559872512
104,16.2,44787224576,46002163712,7598899200
105,16.0,44909432832,46124371968,7528116224
106,15.8,44978036736,46192807936,7567859712
107,16.4,44641583104,45856473088,7580311552
108,16.1,44815306752,46030196736,7514415104
109,16.0,44871761920,46086651904,7566118912
110,16.0,44887134208,46101860352,7618428928
111,15.9,44937977856,46152704000,7608393728
112,15.8,44972261376,46186844160,7575035904
113,15.9,44943323136,46157905920,7524421632
114,15.8,45022044160,46237028352,7524253696
115,16.5,44630540288,45845430272,7619305472
116,16.3,44712005632,45926514688,7515521024
117,16.3,44708597760,45923487744,7621050368
118,16.2,44774563840,45989072896,7575654400
119,16.1,44830396416,46045286400,7572242432
120,15.9,44914077696,46128967680,7415902208
121,16.0,44895444992,46110228480,7529156608
122,16.0,44881678336,46096461824,7565815808
123,16.3,44706320384,45921333248,7488028672
124,16.1,44807737344,46022750208,7413665792
125,16.2,44777873408,45992886272,7551356928
126,16.0,44887289856,46102220800,7550283776
127,15.9,44931411968,46146146304,7513616384
128,15.9,44928040960,46142775296,7510020096
129,15.8,45010472960,46225170432,7535845376
130,15.8,44977029120,46191726592,7569289216
131,16.9,44395859968,45611028480,7508516864
132,16.5,44625043456,45840318464,7379599360
133,16.4,44683366400,45898547200,7429472256
134,16.2,44778471424,45993525248,7430348800
135,16.3,44741361664,45956382720,7480180736
136,16.2,44803117056,46018138112,7526252544
137,16.0,44874530816,46089551872,7562997760
138,15.9,44938862592,46153715712,7606824960
139,16.2,44758999040,45973774336,7571070976
140,16.2,44754825216,45969711104,7530901504
141,16.4,44693098496,45907984384,7637086208
142,16.1,44854112256,46069006336,7583547392
143,16.1,44856942592,46071668736,7581048832
144,15.7,45040185344,46254911488,7505965056
145,15.7,45042458624,46257131520,7471824896
146,15.5,45135687680,46350319616,7410860032
147,16.7,44498489344,45713616896,7614504960
148,16.6,44571496448,45786624000,7649656832
149,16.5,44612894720,45827854336,7652384768
150,16.6,44529143808,45744091136,7669354496
151,16.4,44684382208,45899390976,7537037312
152,16.3,44739325952,45954334720,7482425344
153,16.3,44726743040,45941751808,7495008256
154,16.2,44776366080,45991374848,7553544192
155,16.5,44630675456,45845811200,7482478592
156,16.7,44497084416,45712220160,7723896832
